word,count,suggestion,example_index,example_comment
amvassago,2,,2878,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo
andover,2,handover,3774,i go to little tiny andover and take a walk at night i feel absolutely terrified
anothers,2,another,2064,i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms
apologise,2,apologize,2829,i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out
badass,2,brass,3666,i just like spoiler cuts they make me feel simultaneously badass and considerate
becuz,2,begun,2249,i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b
behaviour,2,behavior,954,i let myself think about my behaviour towards you when we were children i feel a strange mix of guilt and admiration for your resilience
ccs,2,cos,1138,i was feeling frustrated somewhere between season and season of ccs anime and found the anipike website and that there were fanfictions written about ccs characters
childs,2,child,4138,i often feel like a child here i speak the language like a child i generally walk around the town confused like a child i have child like relationships with most of the natives and my knowledge of the area and culture is equivalent to a childs
colour,2,color,2848,ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range
complainy,2,complain,5285,i feel like she acts bitchy and complainy to try and fit in but that doesnt make sense because for the most part were not bitchy and complainy
couldve,2,could,191,i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive
counselling,2,counseling,325,i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation
definately,2,definitely,4339,i do feel a bit obnoxious it is definately the weather
div,2,did,2479,im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom
diy,2,did,2429,i feel that noleans probably lacks a lot of the diy art and music stuff that id go sorta neurotic wihtout
drinkin,2,drinking,1856,i feel like drinkin drinkin angry someones gonna die whiskey and beer les paul a href http farm
energised,2,energized,622,i cant explain how i truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood to dance wanting chocolate wanting to socialise right now smiley and about here i lose words that express but bah so emo
erm,2,arm,2712,i remember feeling uncertain about what to say well erm we are trying and my period is due this week so erm
esp,2,es,4003,i feel like if i was here long enough i would have my emotions back b c i could either be so stressed out by the people that i cant hide my emotions or that i would have my support back and feeling would be safe again esp without uw school work
etape,2,tape,4904,ive missed over a month of training and organised etape prep rides including the etape caledonia and am generally feeling pretty pissed off and depressed about the whole affair so have avoided thinking about it
everythings,2,everything,2906,i now feel everythings been resolved were psychically galvanised and prepared to wrestle the world to the ground
friggin,2,frigging,1548,im feeling irritated by her friggin name
gm,2,go,1734,i also feel strongly about supporting the local economy so for the past years i am proud to have driven gm cars in a gm community
harrassment,2,harassment,5398,having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications
highschool,2,,252,i was just yesterday feeling uncomfortable with highschool sigh
ish,2,is,3967,id have to get to the class for eight dance for an hour nine get home ten if im lucky eat i cant eat before a class as dancing when full makes me feel vile sit around digesting etc ish then get to bed and try to sleep before getting up unnaturally early
itll,2,i'll,870,i want him to feel uncertain and unsettled because he deserves it and maybe itll teach him a lesson
jewellery,2,jeweller,2961,i have made a few sets of his and hers wedding rings recently and i always feel so honored to be asked to make what is probably the most personal piece of jewellery that anyone ever buys
ji,2,i,3865,i or you are feeling adventurous you can buy k ji kin spores by mailorder and make your own kome k ji using the rice of your choice
kai,2,ai,1799,i feel ok an that kai can take the emotions that he will be feeling today
kg,2,keg,1445,i have lost kg and feeling fab
labour,2,labor,944,i forgive myself that i have accepted adn allowed myself to feel uncertain and inferior the moment someobdy is looking at me as i do physical labour
lifes,2,life,2504,id be feeling shaky too if id spent a week contemplating how id just pissed away my lifes work
lil,2,lie,3183,im feeling a lil restless about axel
marvellous,2,marvelous,2523,i took a shower then headed to the bsc loop to meet allies for the trip to the club feeling very triumphant that i had helped in such a marvellous prank
msg,2,mug,3729,i feel agitated thinking about his mother and her supposedly hidden msg
mudder,2,murder,1408,i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder
petronas,2,patrons,1050,i have been with petronas for years i feel that petronas has performed well and made a huge profit
pms,2,pas,1407,i am feeling a little grumpy but that could be pms too
ppl,2,pal,1167,i am not even italian but i feel outraged by the stupidity of ppl on this blog
realising,2,realizing,1025,i am feeling so much sadness realising that i have gone through life like this but it is such a celebration that now i no longer have to harden to hide that i am scared from myself and others
recognised,2,recognized,2014,i enjoyed the feeling of belonging and the sense that i was recognised and somehow valuable
sceptical,2,skeptical,776,i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words
siwons,2,signs,2568,i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath
soo,2,so,2848,ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range
soooo,2,soon,1355,i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them
tech,2,teach,1374,i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem
theyve,2,they've,5510,i feel an angel steal me from the greedy jaws of death and chance and pull me in with steady hands theyve given me a second chance the artist in the ambulance can we pick you off the ground more than flashing lights and sound
tmr,2,tar,4185,i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr
todays,2,today,3224,im feeling so irritable about todays class
tranny,2,granny,5824,i feel like a tranny a lot of the time a title blake lively feels like a tranny href http www
tsa,2,tea,293,im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing
uk,2,up,849,i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics
un,2,in,2869,i feel that i can answer in a completely un sarcastic way
vbac,2,vac,400,i cannot help but feel a bit anxious on how this delivery will go hopefully another vbac if all goes as planned
webkit,2,weskit,5330,i feel good having defended the sanctity of the span style webkit text size adjust auto webkit text stroke width px background color white color display inline
wifes,2,wife,1317,i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs
wip,2,win,1623,i feel a bit hesitant about the whole thing given my past two experiences and the fact that i m going to start a new novel while i work on my current wip because i feel like it would be cheating to count the words on my current wip even though i m only about words into it
wouldve,2,would've,473,i feel like a paranoid annoyance when in reality she wouldve talked to anyone that way
yuuki,2,yuri,4265,is only friend made yuuki feel special
aac,1,mac,2879,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week
abbigail,1,abigail,5437,i feel quite fearful about her future other times i wonder how this happened to her or even if i did something to cause abbigail to have apraxia
absolutly,1,absolutely,5057,i do not believe all media content is bad in fact much of it i feel is absolutly vital to human flourishing
acctually,1,actually,1791,i never feel fucked the week after i used some i feel great acctually thinking of the wonderfull time i had the weekend before img src http israel
acheivment,1,achievement,4595,i feel delighted toward something it could be an acheivment i did or my surrounding or even unexpected event that happen to me
aconfident,1,confident,4981,i feel with aconfident heart i can be the overcomet that god wants me to be so i am eager to learn
admin,1,admit,3498,i always think say now feel a little hesitant i always think say now feel a little hesitant posted on may th by admin
adn,1,and,944,i forgive myself that i have accepted adn allowed myself to feel uncertain and inferior the moment someobdy is looking at me as i do physical labour
adress,1,dress,5191,i will adress those issues and attempt to reason with them so they may feel less threatened and more supported and loved
affeccion,1,affection,5221,i can see the shallow of many lives and if i try to give love or atention to that person then i can see the distance and the confusion looks to me that people stop trusting others and feel insulted or misstreated by affeccion
affend,1,offend,4188,i hope that this does not deeply affend anyone but if it does than maybe you know who i feel now after years of being a faithful catholic to be told you are going to hell anyways because of what you do in the privacy of your own home
afp,1,aft,3904,i feel fearful seeing this bridge an emotional tith sam ath whose year old son died in the disaster told afp
afrade,1,abrade,1925,i am afrade for his life as some people feel quite hostile towards him
agiatated,1,agitated,5465,i guess were annoyed agiatated and my sis feels hated darn cos i told her shes a geek i love you amy
ahaha,1,alpha,4940,i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you
ahahahaha,1,,2367,im feeling generous ahahahaha im so morbidly funny
ahkman,1,human,4226,i cannot wait to be human again ahkman to feel your kiss but i am so frightened
aircleaner,1,,5228,i am right now i feel amused the sounds i hear are my aircleaner around me i see my bed and my cat i feel most connected to this person michael i think it s weird that im a mom
airritated,1,irritated,224,i can think about is how lonely i feel im all grouchy and agitated and esily airritated
akward,1,awkward,1571,i haven t been able to shake this akward and unusual feeling i feel irritable and space out all the time feels like i was surged as well as my computer
alcest,1,alceste,4596,i said in some recent interviews we will have two guests on the next alcest album and today i feel glad to reveal the first one
alise,1,alive,737,i wanted it to feel special for all the guests that alise and jeremy chose
allthingsbucks,1,,1161,i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog
alway,1,always,911,i have never made the first step because the guys were alway faster this is why this situation is making me feel very unsure and elusively shy
amazingness,1,,2996,i almost didn t want to post these because i can sometimes feel intimidated by the amazingness of other mom bloggers who seem to have perfectly organized homes and entertained children
amits,1,admits,2878,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo
amkris,1,kris,2878,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo
ampatuan,1,,3860,i feel i am with ampatuan and joining the forces of hell bitchy human who only wants is to spread their worst odor in this world
anansi,1,annas,4156,i feel like reading anansi boys again its gorgeous
andintrupte,1,,4690,i actually answered you pathetic fucking e mails but no thats too fucking easy just call andintrupte what was a wonderful fucking day with you trad trash what the fuck slave he felt the feeling come over him he bagan to shiver and shaken with fear
andreas,1,andrea,3607,i am jealous of andreas growing belly and the movements she can already feel i am envious of her state
andri,1,andre,5842,i feel like ecstatic i feel joy i feel love and particularly all the devotees have come and that mood is also eagerly moving moving and moving said andri a visitor from abroad
andthenwear,1,,2162,i love autumn and everything that comes with it although i feel i am getting excited for christmas way too early this year me and my friends including a href http andthenwear
angeles,1,angels,5151,i was feeling more than a little apprehensive as i was traveling on an emergency issued passport kindly supplied by the british consulate in los angeles a week ago
angsty,1,angst,2627,i know in advance then i am fine with it but if i make plans and they change or fall through i end up not knowing what to do with myself and feeling very restless and angsty
anipike,1,aniline,1138,i was feeling frustrated somewhere between season and season of ccs anime and found the anipike website and that there were fanfictions written about ccs characters
ano,1,and,2912,i feel fine e terminando com eight days a week um ano depois
ansi,1,anti,3002,i feel like our relationship revovles around sex and when we do he wants it to be really adventurous trying new things using toys etc ansi just find it exhausting trying to keep up
anyones,1,anyone,2875,i want to say that i feel as though i dont play a really vital role in anyones life with the exception of one friend
aout,1,about,2483,i dont know why i feel so unsure aout things and especially people
apawa,1,apart,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
apaya,1,papaya,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
apc,1,ape,5535,i feel deeply offended by some of the rhetoric and behaviour of some of the apc leaders and i cannot be expected to remain silent in the face of such expressions
apgujeong,1,,776,i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words
approx,1,approve,3081,i also get to feel proud of my weight loss which when completed in a few months time i will have lost around kg which is approx pounds
arrangment,1,arrangement,535,i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up
artifically,1,artificially,2946,i still feel it does the genre a disservice when stories are resolved artifically
arun,1,run,4680,i didn t want to tell him because arun has these single line solutions to all my problems that leave me feeling extremely dissatisfied
aryiku,1,,3031,i feel a remembrance of the strange by justin aryiku falls into the latter category
ashers,1,ashes,960,i start to feel frantic where are the candles the matches the one flashlight thats actually ashers bug light no fans in the house move beds outside boys in the bath dont touch the candles goodbye meat in the fridge
atell,1,tell,363,i sat with dave atell at first trying not to feel rude while the guys were eating
atention,1,attention,5221,i can see the shallow of many lives and if i try to give love or atention to that person then i can see the distance and the confusion looks to me that people stop trusting others and feel insulted or misstreated by affeccion
ath,1,at,3904,i feel fearful seeing this bridge an emotional tith sam ath whose year old son died in the disaster told afp
atiqah,1,aliyah,5849,i was rather calm after writing down how i truly feel so was not as agitated as sonia yixuan and atiqah
ativan,1,asian,2176,i didnt cry but i was starting to feel neurotic so my sister who was amazingly chill that morning brought me an ativan
atleast,1,least,3042,i feel paranoid but atleast now i get some comfort with dd she is the only person that i can talk to and not feel lie total crap around she is the nicest kindest most caring person i have ever met and i dont think that i will ever find anyone as great as her in my life
atm,1,at,215,i dont hate you i just honestly feel so bitter towards you atm
audre,1,audrey,2334,i have carried around an audre lorde quote that i often refer to when i am feeling fearful or uncertain about things when i dare to be powerful to use my strength in the service of my vision then it becomes less and less important whether i am afraid
axel,1,axe,3183,im feeling a lil restless about axel
ayan,1,ryan,852,i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare
baachan,1,barchan,5498,i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid
babychaser,1,,1423,i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser
baffroom,1,bathroom,1075,im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom
bagan,1,began,4690,i actually answered you pathetic fucking e mails but no thats too fucking easy just call andintrupte what was a wonderful fucking day with you trad trash what the fuck slave he felt the feeling come over him he bagan to shiver and shaken with fear
bandhu,1,band,3223,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality
bbc,1,bic,4235,i feel i was appalled to see a misused apostrophe on the bbc and an incorrect spelling on itv last week
beacuse,1,because,2812,i would feel timid wearing them beacuse id try to not get them dirty etc
becasue,1,because,5,i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that
bein,1,been,5887,ive come to realize i need to stop runnin away from my fears gotta stop bein so confined and wanting to hide feeling the need to die and instead stic through this vicious hell like ride
belongingness,1,,5260,i know those feelings stem from this part of me that is not accepted mainstream more importantly in the communities to which i seek belongingness
benzema,1,enema,1894,i feel a world class player in the benzema mould would be fantastic
bio,1,big,4106,im down to blogging again simply because im feeling very distracted though im suppose to study cell bio now
biochem,1,bitches,657,i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem
birthmoms,1,,3279,i want their birthmoms to feel confident that they made the right decision
bishan,1,bashan,4037,i felt this way before i was feeling rather reluctant whether should i go down to bishan to fetch my boyfriend
bitstream,1,airstream,3645,i feel very honored to be on the shortlist and congratulate wish all nominees the very best for tonights awards thank you age scotland for the kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size
blackwater,1,backwater,731,i feel privileged to have narrated erik princes autobiography civilian warriors the inside story of blackwater and the unsung heroes of the war on terror which will be released this monday nov th
bleh,1,blew,3039,im feeling that kind of feeling when you are confused yet like bleh
bleu,1,blue,2051,i probably couldn t go back to washington permanently once the baby is here at least not for a while although i have been torn for a while about whether i want to yes bleu i know how you feel about this but i m still not completely convinced
bloging,1,blowing,5143,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we
bodypump,1,,1855,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues
bodyworks,1,bodywork,3492,i find this scent pretty generic i actually feel like bath amp bodyworks didnt invest much time in this collection like they created sweet on paris then decided to throw together two other predictable scents
bondmusings,1,,2163,i feel weird a href http bondmusings
brassed,1,braised,4778,i came to review however im not entirely sure what it is that leaves me feeling somewhat dissatisfied and a bit brassed off that more didnt happen
brendon,1,brandon,1467,i feel like the most hated person on the planet for turning brendon down
britneys,1,britney,4732,i feel about femme fatale except its not cute anymore now that its pretty obvious that britneys not in control of her life that shes so burnt out and yet i get the impression shes almost forced into this career to the point that she just cant or wont deliver anymore
bro,1,pro,2416,i went on to the holiday party that evening courtesy of another journalism sibling whom i call my big bro feeling a little unsure on why i was really attending
brokeup,1,broke,3998,i see other people writing about love when they have just brokeup and finding another person in his her life i kinda feel so disgusted
browness,1,brownest,3407,im also feeling a gorgeous nail of the day coming up with a concoction of these three when ive soaked my pale bod in some fake browness so watch out for that coming up very soon
bs,1,is,2767,i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted
bsc,1,bic,2523,i took a shower then headed to the bsc loop to meet allies for the trip to the club feeling very triumphant that i had helped in such a marvellous prank
btw,1,bow,3419,i am standing so close to said cow her name is gabriella btw i feel rude calling her a cow
bummin,1,bumming,4451,im feeling inspired by all the summery elements of my favorite past time beach bummin
bunnysuit,1,,4207,i like my new bunnysuit when i wear it i feel cute
burmeister,1,,4652,i always loved the blue angels and i feel so privileged and proud to be a blue angel burmeister said
buzzy,1,buzz,5024,i started to feel uncomfortable buzzy short of breath and very mildly panicky
caffeined,1,caffeine,4483,i managed a whole tuesday of eating clean but have caffeined up today and am feeling rather shaky
calli,1,call,1373,i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now
cammie,1,commie,5226,i can remember when cammie was a couple of months old looking at her sweet innocent face and just sobbing thinking about her going to school the thought that someone would hurt her feelings be unkind to her be unfair to her the thought that a teacher might be mean to her or not love her
candyland,1,,605,i wanted but knowing nothing about it i stepped into the candyland of make up looking haggard and left feeling radiant with a bag full of products of course
capp,1,camp,85,i take a long sip and feel the cold sensation of the iced capp
carbs,1,cars,2837,i ended up eating lots of carbs on both days but i didn t feel as pressured to eat a bunch on the last day
carby,1,carry,1019,i feel like having that sweet carby yet low glycemic meal not just at breakfast but often for dessert
careeeeee,1,,3691,i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow
ccw,1,cow,5406,i thinks this chiefs ccw should be yanked by the state as i feel threatened
cdn,1,can,1304,i feel more adventurous willing to take risks img src http cdn
cert,1,cart,1262,i want to go in feeling eager and come out with a dazzling cert whilst on the phone with my mum feeling that at least ive made her proud
chadstone,1,headstone,4010,i want a natasha gan dress just cos i can wear it out and feel fab i want blue suede boots the colour of the ocean i want i want i want i need none of the above but it won t stop me going to chadstone tonite or tomorrow
chai,1,chair,5361,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me
chajeul,1,chapel,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
chakotay,1,,2537,i feel his loss too chakotay reassured then silently approached her and enveloped her in a hug
chickie,1,chicken,1673,i feel im back to being that bouncy little chickie i was when i first found the scene but with a lot more depth and understanding of myself and the world around me
ching,1,thing,5633,i hi tech color club holiday splendor sally hansen cha ching kiss silver glitter i was feeling a little festive tonight so i decided to
chocolating,1,chocolatier,1651,i like listening to hardcore sxe music its the one thing that lets me feel rebellious while not chocolating out or spending till its gone
christmassy,1,christmas,1859,i mustered up energy to feel christmassy i remember feeling kind of pissed off at the bad timing of everything
churchoffuck,1,,3006,i feel fucked is available to pre order from a href http churchoffuck
clairee,1,claire,1264,i feel petty a href http clairee
clearboth,1,,2479,im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom
cliche,1,cloche,3836,i write now it feels like furious abandonment to embrace a cliche
clinique,1,critique,2774,im really feeling skeptical about clinique products
clit,1,lit,3100,i grabbed him by the collar and pulled him against me in a passionate tonguey kiss feeling his long member slide between my waiting ass cheeks as it pulsed on the frantic bud of my clit
cnn,1,can,266,i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn
cohens,1,covens,2535,i amos does such a beautiful job retrofitting cohens song and really his basic arrangement too with her own piano work that it feels to me like more of an artistic effort than merely paying homage
colourful,1,colorful,5326,i had the feeling stubborn and ridiculous and possibly several more colourful turns of phrase as the children were all still asleep were on the tip of her tongue but she settled for heaving a sigh and turning to leave
committment,1,commitment,325,i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation
comp,1,come,4949,i established a rule with my comp that we don t end planning session at the end of the day until we resolve all conflicts or any feelings of anger or anything that bothered one of us to each other and fix whatever it was
compartmentalised,1,compartmentalized,3195,i feel i am seeing a series of intelligent people who have compartmentalised science and religion mostly into separate areas of their minds and not all in the same way and they are flicking backing and forth between them like radio dials
compere,1,compare,3940,i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile
concidence,1,confidence,3994,a scene in a film in which one man repressed another one by concidence
concieve,1,conceive,3693,im happy to report that im not feeling too petty these days mostly because there have been countless examples lately showing me how irrational a woman reaching adulthood and some who should all ready be there can actually concieve
conor,1,honor,1747,i feel like it is conor at his most sincere
covingtons,1,,3550,i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business
cpine,1,pine,3622,im feeling all kinds of conflicted about the bit with his rather violent reaction towards the paparazzi over that zq jcho cpine lunch
craaaaaaack,1,,596,i want to be recless but im feeling so uptight put your mamma in a headlock baby and do it right whooooos got the crack whooooooooos got the crack whooooo s got the crack whos got the craaaaaaack
crim,1,crime,704,i am feeling slightly apprehensive about tomorrow s crim exam that has a hefty weighting of but not to the point where i am sweating buckets or reaching for the razor blades
crocs,1,cross,5302,i feel insulted to see anyone wearing crocs the fashionable shoe icon
crol,1,cool,4017,i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc
crossfit,1,crossfire,2013,i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s
crowe,1,crowd,4127,i go to the range i feel like im like russell crowe in robin hood or merida in brave
crunk,1,drunk,5524,i just got really crunk about a situation and now i feel like i have to write to calm down lol
cryin,1,crying,4386,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u
cya,1,ya,4185,i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr
cyber,1,caber,3902,i do feel slighted when some people use their piece of the cyber world to be rude towards me
da,1,a,2249,i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b
dannika,1,dannie,3416,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner
dasi,1,dash,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
dazs,1,days,3382,i don t know about you but that feeling of powerlessness of not being in control sends me in a mad tizzy for the haagen dazs
dd,1,do,3042,i feel paranoid but atleast now i get some comfort with dd she is the only person that i can talk to and not feel lie total crap around she is the nicest kindest most caring person i have ever met and i dont think that i will ever find anyone as great as her in my life
decluttering,1,cluttering,2990,i am feeling a bit agitated or stressed i find a surprising amount of relief from cleaning and decluttering my house or even just a small space like a closet
deen,1,been,3223,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality
def,1,de,1835,i feel irritable like no other and running will def cure that
deffinately,1,definitely,2934,i aint feeling it this is where been carefree deffinately is worrying in its self
defination,1,definition,99,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings
